file,type,split,frames,sampling_rate,sec
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000000.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000001.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000002.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000003.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000004.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000005.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000006.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000007.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000008.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000009.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000010.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000011.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000012.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000013.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000014.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000015.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000016.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000017.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000018.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000019.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000020.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000021.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000022.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000023.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000024.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000025.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000026.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000027.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000028.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000029.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000030.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000031.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000032.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000033.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000034.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000035.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000036.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000037.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000038.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000039.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000040.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000041.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000042.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000043.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000044.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000045.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000046.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000047.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000048.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000049.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000050.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000051.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000052.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000053.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000054.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000055.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000056.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000057.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000058.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000059.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000060.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000061.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000062.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000063.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000064.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000065.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000066.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000067.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000068.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000069.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000070.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000071.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000072.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000073.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000074.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000075.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000076.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000077.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000078.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000079.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000080.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000081.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000082.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000083.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000084.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000085.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000086.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000087.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000088.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000089.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000090.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000091.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000092.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000093.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000094.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000095.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000096.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000097.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000098.wav,ToyCar,train,176000,16000,11.0
/media/hiroki/working/datasets/DCASE2/add_dev_data/ToyCar/train/normal_id_05_00000099.wav,ToyCar,train,176000,16000,11.0
